Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
1089,"REGRESSED MILESTONES","","REGRESSED MILESTONES","","","Symptom/Finding","N/A","","eHealth System Developer"
1090,"CRYPTOSPORIDIOSIS WITH DIARRHEA","","CRYPTOSPORIDIOSIS WITH DIARRHEA","","","Symptom/Finding","N/A","","eHealth System Developer"
1091,"HOSPITALIZED SINCE LAST VISIT","","HOSPITALIZED SINCE LAST VISIT","NO
YES","","Finding","Coded","","eHealth System Developer"
1092,"EXCLUSIVE BREAST MILK SUBSTITUTE","","EXCLUSIVE BREAST MILK SUBSTITUTE","","","Finding","N/A","","eHealth System Developer"
1093,"MIXED BREASTFED/MILK SUBSTITUTE","","MIXED BREASTFED/MILK SUBSTITUTE","","","Finding","N/A","","eHealth System Developer"
1094,"MIXED BREASTFED/COMPLEMENTARY","","MIXED BREASTFED/COMPLEMENTARY","","","Finding","N/A","","eHealth System Developer"
1095,"MIXED MILK FEEDING","","MIXED MILK FEEDING","","","Finding","N/A","","eHealth System Developer"
1096,"WEANED","","WEANED","","","Finding","N/A","","eHealth System Developer"
1097,"NUTRITIONAL SUPPLEMENT","","NUTRITIONAL SUPPLEMENT","","","Finding","N/A","","eHealth System Developer"
1098,"REGULAR DIET","","REGULAR DIET","","","Finding","N/A","","eHealth System Developer"
1099,"INFANT FEEDING METHOD","","INFANT FEEDING METHOD","OTHER NON-CODED
NUTRITIONAL SUPPLEMENT
MIXED BREASTFED/COMPLEMENTARY
MIXED BREASTFED/MILK SUBSTITUTE
REGULAR DIET
EXCLUSIVE BREAST MILK SUBSTITUTE
MIXED MILK FEEDING
WEANED
BREASTFED EXCLUSIVELY","","Finding","Coded","","eHealth System Developer"
1100,"AGE WEANED","","AGE WEANED","","","Finding","Numeric","","eHealth System Developer"
1101,"PATIENT RECEIVED ADHERENCE COUNSELING","","PATIENT RECEIVED ADHERENCE COUNSELING","NO
UNKNOWN
YES","","Finding","Coded","","eHealth System Developer"
1102,"CAREGIVER RECEIVED ADHERENCE COUNSELING","","CAREGIVER RECEIVED ADHERENCE COUNSELING","NO
YES
UNKNOWN","","Finding","Coded","","eHealth System Developer"
1103,"IMMUNIZATIONS UP TO DATE","","IMMUNIZATIONS UP TO DATE","NO
YES","","Finding","Coded","","eHealth System Developer"
1104,"BODY SURFACE AREA","","BODY SURFACE AREA","","","Finding","Numeric","","eHealth System Developer"
1105,"HEAD CIRCUMFERENCE ","","Head Circ (cm)
HEAD CIRCUMFERENCE","","","Finding","Numeric","","eHealth System Developer"
1106,"ANORECTAL EXAMINATION","","ANORECTAL EXAMINATION","ABNORMAL
NORMAL
NOT DONE","","Finding","Coded","","eHealth System Developer"
1107,"GENITOURINARY EXAM FINDINGS","","GENITOURINARY EXAM FINDINGS","ABNORMAL
NORMAL
Inguinal node enlargement
NOT DONE
GENITAL DISCHARGE
Genital ulcer","","Finding","Coded","","eHealth System Developer"
1108,"LYMPH NODE EXAM FINDINGS","","LYMPH NODE EXAM FINDINGS","ABNORMAL
NORMAL
NOT DONE","","Finding","Coded","","eHealth System Developer"
1109,"SKIN EXAM FINDINGS","","SKIN EXAM FINDINGS","Scabies
NOT DONE
KAPOSI'S lesions
Suborrheic dermatitis
FUNGAL INFECTION
Pruritic paplar dermatitis
Abscesses
ABNORMAL
HERPES ZOSTER
NORMAL","","Finding","Coded","","eHealth System Developer"
1110,"EXTREMITY EXAM FINDINGS","","EXTREMITY EXAM FINDINGS","NOT DONE
NORMAL
ABNORMAL","","Finding","Coded","","eHealth System Developer"
1111,"MUSCULOSKELETAL EXAM FINDINGS","","MUSCULOSKELETAL EXAM FINDINGS","NOT DONE
NORMAL
ABNORMAL","","Finding","Coded","","eHealth System Developer"
1112,"PSYCHIATRIC EXAM FINDINGS","","PSYCHIATRIC EXAM FINDINGS","ABNORMAL
NOT DONE
NORMAL","","Finding","Coded","","eHealth System Developer"
1113,"NEUROLOGIC EXAM FINDINGS","","NEUROLOGIC EXAM FINDINGS","Numbness of extremities
Hemiplegia/paresis
Blindness 1/2 eyes
Fisting/spasticity
Neck stiffness
Speech Slurs
NORMAL
Orientation to TPP
ABNORMAL
Impaired consciousness
NOT DONE","","Finding","Coded","","eHealth System Developer"
1114,"DEVELOPMENTALLY APPROPRIATE","","DEVELOPMENTALLY APPROPRIATE","","","Finding","N/A","","eHealth System Developer"
1115,"DELAY OF MILESTONES","","DELAY OF MILESTONES","","","Finding","N/A","","eHealth System Developer"
1116,"DEVELOPMENTAL STATUS","","DEVELOPMENTAL STATUS","DELAY OF MILESTONES
DEVELOPMENTALLY APPROPRIATE
REGRESSED MILESTONES","","Finding","Coded","","eHealth System Developer"
1117,"COGNITION STATUS","","COGNITION STATUS","DELAY OF MILESTONES
NORMAL
NOT DONE","","Finding","Coded","","eHealth System Developer"
1118,"GROWTH MOTOR STATUS","","GROWTH MOTOR STATUS","NORMAL
NOT DONE
DELAY OF MILESTONES","","Finding","Coded","","eHealth System Developer"
1119,"FINE MOTOR STATUS","","FINE MOTOR STATUS","NORMAL
NOT DONE
DELAY OF MILESTONES","","Finding","Coded","","eHealth System Developer"
1120,"LANGUAGE STATUS","","LANGUAGE STATUS","NOT DONE
DELAY OF MILESTONES
NORMAL","","Finding","Coded","","eHealth System Developer"
1121,"WHO STAGE 1 PEDS","","WHO STAGE 1 PEDS
1","HIV STAGING - PERSISTENT GENERALIZED LYMPHADENOPATHY
Working
HEPATOSPLENOMEGALY","","Finding","Coded","eHealth System Developer","eHealth System Developer"
1122,"WHO STAGE 2 PEDS","","WHO STAGE 2 PEDS
2","ONYCHOMYCOSIS
PAPULAR PRURITIC ERUPTION
LINEAR GINGIVAL ERYTHRMA
ANGULAR CHEILITIS
DERMATITIS
HIV STAGING - RECURRENT UPPER RESPIRATORY INFECTION
HERPES ZOSTER
MOLLUSCUM CONTAGIOSUM
HUMAN PAPILLOMAVIRUS
PAROTID ENLARGEMENT
RECURRENT ORAL ULCER","","Finding","Coded","","eHealth System Developer"
1123,"WHO STAGE 3 PEDS","","WHO STAGE 3 PEDS
3","HIV STAGING - RECURRENT BACTERIAL PNEUMONIA
ULCERATIVE GINGIVITIS
NEUTROPENIA DUE TO INFECTION
CARDIOMYOPATHY
HIV STAGING - PERSISTENT FEVER
CANDIDIASIS, ORAL
ORAL HAIRY LEUKOPLAKIA
PNEUMONIA, TUBERCULOUS
DIARRHEA, CHRONIC
MALNUTRITION OF MODERATE DEGREE
NEPHROPATHY","","Finding","Coded","","eHealth System Developer"
1124,"WHO STAGE 4 PEDS","","4
WHO STAGE 4 PEDS","HIV STAGING - CYTOMEGALOVIRUS DISEASE
HIV STAGING - CRYPTOSPORIDIOSIS
MENINGITIS, CRYPTOCOCCAL
TOXOPLASMOSIS, CENTRAL NERVOUS SYSTEM
ESOPHAGEAL CANDIDIASIS
KAPOSI'S lesions
EXTRAPULMONARY TUBERCULOSIS
CHRONIC OROLABIL OR CUTANEOUS HSV
HIV STAGING - DISSEMINATED ENDEMIC MYCOSIS
ENCEPHALOPATHY
PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY
DIFFUSE NON-HODGKIN'S LYMPHOMA
RECTOVAGINAL FISTULA
CANDIDA OF TRACHEA, BRONCHI, OR LUNGS
Mycobacterial Infection (Excluding Tuberculosis and Leprosy)
Sepsis
WASTING SYNDROME
PNEUMOCYSTIC CARINII PNEUMONIA
HIV STAGING - SEVERE BACTERIAL INFECTION
CANDIDIASIS, ORAL
FAILURE TO THRIVE
PNEUMONIA","","Finding","Coded","","eHealth System Developer"
1125,"HEPATOSPLENOMEGALY","","HEPATOSPLENOMEGALY","","","Symptom/Finding","N/A","","eHealth System Developer"
1126,"PAPULAR PRURITIC ERUPTION","","PAPULAR PRURITIC ERUPTION","","","Symptom/Finding","N/A","","eHealth System Developer"
1127,"ONYCHOMYCOSIS","","Fungal nail infection
ONYCHOMYCOSIS","","","Symptom/Finding","N/A","","eHealth System Developer"
1128,"ANGULAR CHEILITIS","","ANGULAR CHEILITIS","","","Finding","N/A","","eHealth System Developer"
1129,"LINEAR GINGIVAL ERYTHRMA","","LINEAR GINGIVAL ERYTHRMA","","","Finding","N/A","","eHealth System Developer"
1130,"HUMAN PAPILLOMAVIRUS","","HUMAN PAPILLOMAVIRUS","","","Finding","N/A","","eHealth System Developer"
1131,"MOLLUSCUM CONTAGIOSUM","","MOLLUSCUM CONTAGIOSUM","","","Symptom/Finding","N/A","","eHealth System Developer"
1132,"RECURRENT ORAL ULCER","","RECURRENT ORAL ULCER","","","Symptom/Finding","Text","","eHealth System Developer"
1133,"PAROTID ENLARGEMENT","","PAROTID ENLARGEMENT","","","Symptom/Finding","N/A","","eHealth System Developer"
1134,"MALNUTRITION OF MODERATE DEGREE","60% to less than 75% of standard weight","MALNUTRITION OF MODERATE DEGREE","","","Symptom/Finding","N/A","","eHealth System Developer"
1135,"HIV STAGING - RECURRENT BACTERIAL PNEUMONIA","","HIV STAGING - RECURRENT BACTERIAL PNEUMONIA","","","Symptom/Finding","N/A","","eHealth System Developer"
1136,"ULCERATIVE GINGIVITIS","","ULCERATIVE GINGIVITIS","","","Symptom/Finding","N/A","","eHealth System Developer"
1137,"NEUTROPENIA DUE TO INFECTION","","NEUTROPENIA DUE TO INFECTION","","","Symptom/Finding","N/A","","eHealth System Developer"
1138,"CARDIOMYOPATHY","","CARDIOMYOPATHY","","","Symptom/Finding","N/A","","eHealth System Developer"
1139,"FAILURE TO THRIVE","FTT in child","FAILURE TO THRIVE","","","Symptom/Finding","N/A","","eHealth System Developer"
1140,"CHRONIC OROLABIL OR CUTANEOUS HSV","","CHRONIC OROLABIL OR CUTANEOUS HSV","","","Symptom/Finding","N/A","","eHealth System Developer"
1141,"ESOPHAGEAL CANDIDIASIS","","ESOPHAGEAL CANDIDIASIS","","","Symptom/Finding","N/A","","eHealth System Developer"
1142,"MENINGITIS, CRYPTOCOCCAL","","MENINGITIS, CRYPTOCOCCAL","","","Symptom/Finding","N/A","","eHealth System Developer"
1143,"CANDIDA OF TRACHEA, BRONCHI, OR LUNGS","","CANDIDA OF TRACHEA, BRONCHI, OR LUNGS","","","Symptom/Finding","N/A","","eHealth System Developer"
1144,"DIFFUSE NON-HODGKIN'S LYMPHOMA","","DIFFUSE NON-HODGKIN'S LYMPHOMA","","","Symptom/Finding","N/A","","eHealth System Developer"
1145,"Image upload","This concept handles image import for patient","Image
IMG
Image upload","","","Specimen","Complex","","eHealth System Developer"
1146,"REASON FOR SCHEDULED VISIT","","REASON FOR SCHEDULED VISIT","LABORATORY ORDERS
ANTENATAL CARE PROGRAM
CLINIC PROCEDURE
SCHEDULED VISIT
Drug Refil","","Finding","Coded","eHealth System Developer","eHealth System Developer"
1147,"Other CAUSE OF DEATH","","Other CAUSE OF DEATH","","","Finding","Text","","eHealth System Developer"
1148,"REASON ORDER STOPPED","","REASON ORDER STOPPED","Switch
Pregnant
Substitution
Refill Fastrack","","Finding","Coded","eHealth System Developer","eHealth System Developer"
1149,"ASCORBIC ACID TOTAL","","ASCORBIC ACID TOTAL","TWO PLUS
NEGATIVE
ONE PLUS","","Test","Coded","","eHealth System Developer"
1150,"BASOPHILS","","BASOPHILS","","","Test","Numeric","","eHealth System Developer"
1151,"TOTAL BILIRUBIN","","TOTAL BILIRUBIN","TWO PLUS
NEGATIVE
THREE PLUS
ONE PLUS","","Test","Coded","","eHealth System Developer"
1152,"BLOOD TEST","","BLOOD TEST","THREE PLUS
ONE PLUS
TWO PLUS
NEGATIVE","","Test","Coded","","eHealth System Developer"
1153,"CD4 %","","CD4 %","","","Test","Numeric","","eHealth System Developer"
1154,"CRYPTOCOCCAL ANTIGEN","","CRYPTOCOCCAL ANTIGEN","POSITIVE
NEGATIVE","","Test","Coded","","eHealth System Developer"
1155,"DRUG RESISTANCE TESTING","","DRUG RESISTANCE TESTING","","","Test","Text","","eHealth System Developer"
1156,"EOSINOPHILS %","","EOSINOPHILS %","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
1157,"HEPATITIS B TEST - QUALITATIVE","","HEPATITIS B TEST - QUALITATIVE","POSITIVE
NEGATIVE","","Test","Coded","","eHealth System Developer"
1158,"HEPATITIS C TEST - QUALITATIVE","","HEPATITIS C TEST - QUALITATIVE","POSITIVE
NEGATIVE","","Test","Coded","","eHealth System Developer"
1159,"HDL","HIGH-DENSITY LIPOPROTEIN CHOLESTEROL","HDL","","","Test","Numeric","Strategic Information","eHealth System Developer"
1160,"HIV 1","","HIV 1","","","Diagnosis","N/A","","eHealth System Developer"
1161,"HIV 2","","HIV 2","","","Diagnosis","N/A","","eHealth System Developer"
1162,"HIV SEROTYPE","","HIV SEROTYPE","HIV 2
HIV 1","","Test","Coded","","eHealth System Developer"
1163,"KETONES TOTAL","","KETONES TOTAL","NEGATIVE
POSITIVE
TWO PLUS
TRACE
ONE PLUS
THREE PLUS","","Test","Coded","","eHealth System Developer"
1164,"LEUCOCYTES TOTAL","","LEUCOCYTES TOTAL","THREE PLUS
NEGATIVE
ONE PLUS
TWO PLUS","","Test","Coded","","eHealth System Developer"
1165,"LIPID PROFILE","","LIPID PROFILE","","","Test","Numeric","","eHealth System Developer"
1166,"LIVER FUNCTION TEST","","LIVER FUNCTION TEST","","","Test","Text","","eHealth System Developer"
1167,"LDL","LOW-DENSITY LIPOPROTEIN CHOLESTEROL","LDL","","","Test","Numeric","Strategic Information","eHealth System Developer"
1168,"LYMPHOCYTES %","","LYMPHOCYTES %","","","Test","Numeric","","eHealth System Developer"
1169,"MONOCYTES","","MONOCYTES","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
1170,"NEUTROPHILS %","","NEUTROPHILS %","","","Test","Numeric","","eHealth System Developer"
1171,"NITRITES TOTAL","","NITRITES TOTAL","TRACE
NEGATIVE
POSITIVE","","Test","Coded","","eHealth System Developer"
1172,"pH LEVEL","","pH LEVEL","","","Test","Numeric","Strategic Information","eHealth System Developer"
1173,"TOTAL PROTEIN","","TOTAL PROTEIN","THREE PLUS
FOUR PLUS
NEGATIVE
TWO PLUS
ONE PLUS","","Test","Coded","","eHealth System Developer"
1174,"SPECIFIC GRAVITY","","SPECIFIC GRAVITY","","","Test","Numeric","Strategic Information","eHealth System Developer"
1175,"TOTAL CHOLESTEROL","","TOTAL CHOLESTEROL","","","Test","Numeric","","eHealth System Developer"
1176,"TRIGLYCERIDES","","TRIGLYCERIDES","","","Test","Numeric","Strategic Information","eHealth System Developer"
1177,"URINALYSIS RESULT","","URINALYSIS RESULT","","","Test","Numeric","","eHealth System Developer"
1178,"UROBILINOGEN","","UROBILINOGEN","ONE PLUS
THREE PLUS
FOUR PLUS
NEGATIVE
TWO PLUS","","Test","Coded","","eHealth System Developer"
1179,"CHILD HEALTH CARD","","CHILD HEALTH CARD","","","Workflow","N/A","","eHealth System Developer"
1180,"SCHEDULED VISIT","","SCHEDULED VISIT","","","Finding","N/A","","eHealth System Developer"
1181,"HIV Care","","HIV Care","","","Workflow","N/A","","eHealth System Developer"
1182,"PEDIATRIC ARV","","PEDIATRIC ARV","","","Workflow","N/A","","eHealth System Developer"
1183,"ORPHANS AND VULNERABLE CHILDREN","","OVC
ORPHANS AND VULNERABLE CHILDREN","","","Workflow","N/A","","eHealth System Developer"
1184,"LAMIVUDINE/NEVIRAPINE/ZIDOVUDINE","","COMBIPAK
LAMIVUDINE/NEVIRAPINE/ZIDOVUDINE","","","Drug","N/A","","eHealth System Developer"
1185,"STAVUDINE/LAMIVUDINE","","D4T/3TC
STAVUDINE/LAMIVUDINE","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
1186,"INDINAVIR","","IDV
INDINAVIR
CRIXIVAN","400mg
200mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1187,"RITONOVIR","","NOVIR
RITONOVIR
RTV","100mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1188,"SAQUINAVIR","","Invirase
Fortovase
SQV
SAQUINAVIR","200mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1189,"TENOFOVIR/LAMIVUDINE","","TDF/3TC
TDF+3TC
TENOFOVIR/LAMIVUDINE","300mg/300mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1190,"TENOFOVIR/EMTRICITABINE","","Truvada 
TDF/FTC
TENOFOVIR/EMTRICITABINE","300mg/200mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1191,"ABACAVIR / LAMIVUDINE","","ABACAVIR / LAMIVUDINE","","","Drug","N/A","","eHealth System Developer"
1192,"ACYCLOVIR","","ACYCLOVIR","","","Drug","N/A","","eHealth System Developer"
1193,"AMOXICILLIN","","AMOXICILLIN","","","Drug","N/A","","eHealth System Developer"
1194,"AZITHROMYCIN","","AZITHROMYCIN","","","Drug","N/A","","eHealth System Developer"
1195,"BENZOIC ACID/SALICYLIC ACID CREAM","","BENZOIC ACID/SALICYLIC ACID CREAM","","","Drug","N/A","","eHealth System Developer"
1196,"CEFTRIAXONE IV","","CEFTRIAXONE IV","","","Drug","N/A","","eHealth System Developer"
1197,"CHLORPHENIRAMINE MALEATE","","CHLORPHENIRAMINE MALEATE","","","Drug","N/A","","eHealth System Developer"
1198,"DAPSONE","","DAPSONE","100mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1199,"FERROUS GLUCONATE","","FERROUS GLUCONATE","","","Drug","N/A","","eHealth System Developer"
1200,"FLUOXETINE","","FLUOXETINE","","","Drug","N/A","","eHealth System Developer"
1201,"FLUCONAZOLE","","FLUCONAZOLE","200mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1202,"HYDROCORTISONE ACETATE","","HYDROCORTISONE ACETATE","","","Drug","N/A","","eHealth System Developer"
1203,"IBUPROFEN","","IBUPROFEN","","","Drug","N/A","","eHealth System Developer"
1204,"LOPERAMIDE","","LOPERAMIDE","","","Drug","N/A","","eHealth System Developer"
1205,"LORATADINE","","LORATADINE","","","Drug","N/A","","eHealth System Developer"
1206,"METOCLOPRAMIDE","","METOCLOPRAMIDE","","","Drug","N/A","","eHealth System Developer"
1207,"METRONIDAZOLE","","METRONIDAZOLE","","","Drug","N/A","","eHealth System Developer"
1208,"MULTIVITAMIN","","MULTIVITAMIN","","","Drug","N/A","","eHealth System Developer"
1209,"NYSTATIN SOLUTION","","NYSTATIN SOLUTION","","","Drug","N/A","","eHealth System Developer"
1210,"ORAL REHYDRATION SALT","","ORAL REHYDRATION SALT
ORS","","","Drug","N/A","","eHealth System Developer"
1211,"SULFADOXINE/PYRIMETHAMINE","","SULFADOXINE/PYRIMETHAMINE
FANSIDAR","","","Drug","N/A","","eHealth System Developer"
1212,"TRAMADOL","","TRAMADOL","","","Drug","N/A","","eHealth System Developer"
1213,"NELFINAVIR","","NFV
NELFINAVIR
VIRACEPT","250mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
1214,"ALBENDAZOLE","","ALBENDAZOLE","","","Drug","N/A","","eHealth System Developer"
1215,"ARTEMETHER-LUMEFANTRINE","","ARTEMETHER-LUMEFANTRINE
COARTEM
ARTEMISININ-LUMEFANTRINE","","","Drug","N/A","","eHealth System Developer"
1216,"CLOTRIMAZOLE VAG. PRESSARY","","CLOTRIMAZOLE VAG. PRESSARY","","","Drug","N/A","","eHealth System Developer"
1217,"ACTION MEAL","","ACTION MEAL","","","Drug","Numeric","Synchronization Service eHN 11707b2f","eHealth System Developer"
1218,"PYRIZINAMIDE","","PYRIZINAMIDE","","","Drug","N/A","","eHealth System Developer"
1219,"ZIDOVUDINE/LAMIVUDINE/EFAVIRENZ","","ZIDOVUDINE/LAMIVUDINE/EFAVIRENZ
AZT/3TC/EFV","","","Drug","N/A","","eHealth System Developer"
1221,"ABACAVIR/LAMIVUDINE/NEVIRAPINE","","ABACAVIR/LAMIVUDINE/NEVIRAPINE
ABC/3TC/NVP","","","Drug","N/A","","eHealth System Developer"
1222,"ABACAVIR/LAMIVUDINE/EFAVIRENZ ","","ABACAVIR/LAMIVUDINE/EFAVIRENZ 
ABC/3TC/EFV","","","Drug","N/A","","eHealth System Developer"
1223,"ABACAVIR/LAMIVUDINE/ZIDOVUDINE","","ABC/3TC/AZT
ABACAVIR/LAMIVUDINE/ZIDOVUDINE","","","Drug","N/A","","eHealth System Developer"
1224,"NEVIRAPINE/TENOFOVIR/EMTRICITABINE","","NEVIRAPINE/TENOFOVIR/EMTRICITABINE
NVP/TDF/FTC","","","Drug","N/A","","eHealth System Developer"
1225,"NEVIRAPINE/TENOFOVIR/LAMIVUDINE","","NEVIRAPINE/TENOFOVIR/LAMIVUDINE
NVP/TDF/3TC","","","Drug","N/A","","eHealth System Developer"
1226,"EFAVIRENZ/TENOFOVIR/EMTRICITABINE","","EFAVIRENZ/TENOFOVIR/EMTRICITABINE
EFV/TDF/FTC","","","Drug","N/A","","eHealth System Developer"
1227,"TENOFOVIR/LAMIVUDINE/EFAVIRENZ","","TDF/3TC/EFV
TENOFOVIR/LAMIVUDINE/EFAVIRENZ","","","Drug","N/A","","eHealth System Developer"
1228,"ABACAVIR/DIDANOSINE/KALETRA","","ABACAVIR/DIDANOSINE/KALETRA","","","Drug","N/A","","eHealth System Developer"
1229,"ZIDOVUDINE/DIDANOSINE/KALETRA","","ZIDOVUDINE/DIDANOSINE/KALETRA
AZT/DDI/LPVr","","","Drug","N/A","","eHealth System Developer"
1230,"LAMIVUDINE/DIDANOSINE/KALETRA","","3TC/DDI/LPVr
LAMIVUDINE/DIDANOSINE/KALETRA","","","Drug","N/A","","eHealth System Developer"
1231,"DIDANOSINE/EFAVIRENZ/KALETRA","","DIDANOSINE/EFAVIRENZ/KALETRA
DDI/EFV/LPVr","","","Drug","N/A","","eHealth System Developer"
1232,"KALETRA/TENOFOVIR/EMTRICITABINE","","LPVr/TDF/FTC
KALETRA/TENOFOVIR/EMTRICITABINE","","","Drug","N/A","","eHealth System Developer"
1233,"KALETRA/TENOFOVIR/LAMIVUDINE","","LPVr/TDF/3TC
KALETRA/TENOFOVIR/LAMIVUDINE","","","Drug","N/A","","eHealth System Developer"
1234,"KALETRA/ZIDOVUDINE/LAMIVUDINE","","KALETRA/ZIDOVUDINE/LAMIVUDINE
LPVr/AZT/3TC","","","Drug","N/A","","eHealth System Developer"
1235,"KALETRA/TENOFOVIR/ZIDOVUDINE/EMTRICITABINE","","LPVr/TDF/AZT/FTC
KALETRA/TENOFOVIR/ZIDOVUDINE/EMTRICITABINE","","","Drug","N/A","","eHealth System Developer"
1236,"KALETRA/TENOFOVIR/ZIDOVUDINE/LAMIVUDINE","","LPVr/TDF/AZT/3TC
KALETRA/TENOFOVIR/ZIDOVUDINE/LAMIVUDINE","","","Drug","N/A","","eHealth System Developer"
1237,"SAQUINAVIR/TENOFOVIR/EMTRICITABINE","","SAQUINAVIR/TENOFOVIR/EMTRICITABINE
SQVr/TDF/FTC","","","Drug","N/A","","eHealth System Developer"
1238,"SAQUINAVIR/TENOFOVIR/LAMIVUDINE","","SAQUINAVIR/TENOFOVIR/LAMIVUDINE
SQVr/TDF/3TC","","","Drug","N/A","","eHealth System Developer"
1239,"AMYTRYPTILINE","","AMYTRYPTILINE","","","Drug","N/A","","eHealth System Developer"
1240,"ARTEMETER","","ARTEMETER","","","Drug","N/A","","eHealth System Developer"
1241,"PROMETHAZINE / PSEUDOEPHEDRINE","","PROMETHAZINE / PSEUDOEPHEDRINE","","","Drug","N/A","","eHealth System Developer"
1242,"PRIMARY CARE PROGRAM","","PRIMARY CARE PROGRAM","","","Workflow","N/A","","eHealth System Developer"
1243,"ANTENATAL CARE PROGRAM","","ANTENATAL CARE PROGRAM","","","Workflow","N/A","","eHealth System Developer"
1244,"DISCHARGE DATE","","DISCHARGE DATE","","","Finding","Date","","eHealth System Developer"
1245,"PAST MEDICAL PROBLEMS","","PAST MEDICAL PROBLEMS","","","Question","Text","","eHealth System Developer"
1246,"PREVIOUS ARV EXPOSURE","","PREVIOUS ARV EXPOSURE","NO
YES","","Question","Coded","","eHealth System Developer"
1247,"PREVIOUS PMTCT TREATMENT DATES","","PREVIOUS PMTCT TREATMENT DATES","","","Question","Text","","eHealth System Developer"
1248,"TREAMENT DATES","","TREAMENT DATES","","","Question","Text","eHealth System Developer","eHealth System Developer"
1249,"Community Support Person","support person","Community Support Person
support person","NO
YES","","Finding","Coded","","eHealth System Developer"
1250,"Management of HIV/AIDS","Management of HIV/AIDS","Management of HIV/AIDS
Management of HIV","NO
YES","","Finding","Coded","","eHealth System Developer"
1251,"ADHERENCE IMPORTANCE","ADHERENCE IMPORTANCE","ADHERENCE IMPORTANCE
ADHERENCE IMPORTANCE","YES
NO","","Finding","Coded","","eHealth System Developer"
1252,"HIV/AIDS BASICS","HIV/AIDS BASICS UNDERSTANDING","HIV/AIDS BASICS
HIV/AIDS basics","NO
YES","","Finding","Coded","","eHealth System Developer"
1253,"MEDICATION CALENDER","MEDICATION CALENDER","medicaton calender
MEDICATION CALENDER","NO
YES","","Finding","Coded","","eHealth System Developer"
1254,"DATE OF LAST CONTACT","","DATE OF LAST CONTACT","","","Finding","Date","","eHealth System Developer"
1255,"DATE OF MISSED APPOINTMENT","","DATE OF MISSED APPOINTMENT","","","Finding","Date","","eHealth System Developer"
1256,"TREATMENT STATUS","TREATMENT STATUS","TREATMENT STATUS","NOT ON ART
ON ART
ON PMTCT
Non-Occup PEP
HEI
Occup PEP","","Finding","Coded","","eHealth System Developer"
1257,"NOT ON ART","","Non ART
NOT ON ART","","","Finding","N/A","","eHealth System Developer"
1258,"ON ART","","ON ART","","","Finding","N/A","","eHealth System Developer"
1259,"ON PMTCT","","ON PMTCT","","","Finding","N/A","","eHealth System Developer"
1260,"SUPPORT PERSON AT VISIT","","SUPPORT PERSON AT VISIT","YES
NO","","Finding","Coded","","eHealth System Developer"
1261,"NUMBER FEMALE SUPPORTERS","","NUMBER FEMALE SUPPORTERS","","","Finding","Numeric","","eHealth System Developer"
1262,"NUMBER MALE SUPPORTERS","","NUMBER MALE SUPPORTERS","","","Finding","Numeric","","eHealth System Developer"
1263,"ABILITY TO MEET ADL IN PAST MONTH","","ABILITY TO MEET ADL IN PAST MONTH","MODERATE SYMPTOMS
INDEPENDENT
SEVERE SYMPTOMS","","Finding","Coded","","eHealth System Developer"
1264,"INDEPENDENT","","INDEPENDENT","","","Misc","N/A","","eHealth System Developer"
1265,"MODERATE SYMPTOMS","","MODERATE SYMPTOMS","","","Finding","N/A","","eHealth System Developer"
1266,"SEVERE SYMPTOMS","","SEVERE SYMPTOMS","","","Finding","N/A","","eHealth System Developer"
1267,"WILLING FOR HBC REFERRAL","","WILLING FOR HBC REFERRAL","NO
YES","","Finding","Coded","","eHealth System Developer"
1268,"HAS PATIENT RECEIVED HBC SERVICES SINCE LAST VISIT","","HAS PATIENT RECEIVED HBC SERVICES SINCE LAST VISIT","YES
NO","","Question","Coded","","eHealth System Developer"
1269,"Home based care interventions provided","","HBC SERVICES ACCESSED
Home based care services provided
Home based care interventions provided","ACTIVITIES OF DAILY LIVING
HEMATOCRIT (HCT)
ADHERENCE SUPPORT
NUTRITIONAL SUPPORT
ORPHANS AND VULNERABLE CHILDREN
OTHER NON-CODED
REFERALS
VCT","","Question","Coded","Strategic Information","eHealth System Developer"
1270,"ACTIVITIES OF DAILY LIVING","","ACTIVITIES OF DAILY LIVING
ADL","","","Misc","N/A","","eHealth System Developer"
1271,"ADHERENCE SUPPORT","","ADHERENCE SUPPORT","","","Misc","N/A","","eHealth System Developer"
1272,"REFERALS","","REFERALS","","","Misc","N/A","","eHealth System Developer"
1273,"CURRENT PAIN","","CURRENT PAIN","NO
YES","","Finding","Coded","","eHealth System Developer"
